# Result of TCS.NS_sustainability
                                                                           esgScores
maxAge                                                                         86400
totalEsg                                                                       11.42
environmentScore                                                                0.69
socialScore                                                                     4.75
governanceScore                                                                 5.99
ratingYear                                                                      2023
ratingMonth                                                                        9
highestControversy                                                               1.0
peerCount                                                                          8
esgPerformance                                                            UNDER_PERF
peerGroup                                                        Software & Services
relatedControversy                   [Employee Incidents, Business Ethics Incidents]
peerEsgScorePerformance                {'min': 13.89, 'avg': 21.07125, 'max': 49.81}
peerGovernancePerformance          {'min': 4.87, 'avg': 9.592499999999998, 'max':...
peerSocialPerformance                    {'min': 6.22, 'avg': 8.75125, 'max': 14.17}
peerEnvironmentPerformance                   {'min': 0.5, 'avg': 2.725, 'max': 4.84}
peerHighestControversyPerformance               {'min': 1.0, 'avg': 2.0, 'max': 5.0}
percentile                                                                       4.2
environmentPercentile                                                           None
socialPercentile                                                                None
governancePercentile                                                            None
adult                                                                          False
alcoholic                                                                      False
animalTesting                                                                  False
catholic                                                                       False
controversialWeapons                                                           False
smallArms                                                                      False
furLeather                                                                     False
gambling                                                                       False
gmo                                                                            False
militaryContract                                                               False
nuclear                                                                        False
pesticides                                                                     False
palmOil                                                                        False
coal                                                                           False
tobacco                                                                        False
